artist_familiarity;artist_hotttnesss;artist_id;idx_artist_mbtags;artist_name;loudness;song_id;tempo;song_hotttnesss;time_signature;title;key
b'0.532850502340714';b'0.3029304706245103';b'ARO0EUG1187B9AC250';b'0';b'Portable';b'-18.152';b'SOZSPTD12A8C143BFD';b'116.005';b'0.0';b'4';b'Theresa';b'10'
b'0.7133221465467205';b'0.4736131893753991';b'AR6CLFP1187B9ACB94';b'0';b'Daniel Johnston';b'-12.743';b'SOHWWOM12AB0186627';b'106.742';b'0.6874706409090017';b'4';"b""Story Of An Artist (Don't Be Scared)""";b'0'
b'0.5873322673749817';b'0.4213861126004072';b'AR6WICD1187B998708';b'0';b'Christian McBride';b'-9.479';b'SOZVLXO12AF72ABCDB';b'121.201';b'nan';b'4';b'D Shuffle Jam (Part 2)';b'0'
b'0.27461328335632273';b'0.0';b'ARMFOCL119B8668919';b'0';b'String Trio Of New York';b'-18.245';b'SOVBVJW12AAF3B5F77';b'130.316';b'0.0';b'5';b'Ju Ju';b'9'
b'0.34173223003613984';b'0.29682395079510554';b'AR3GYKU1187B996AB9';b'0';b'Jim Kweskin';b'-15.279';b'SOINHKC12AB01836E0';b'160.981';b'nan';b'4';b'When I Was A Cowboy (Western Plains) (LP Version)';b'10'
b'0.4999392209886847';b'0.3744494304968199';b'ARDOOH01187B991055';b'0';b'Ultraviolence';b'-9.249';b'SODKUVJ12AB0187A4A';b'174.57';b'0.21508031850922793';b'4';b'I Destructor (Lenny Dee Mix)';b'1'
b'0.4866791431655032';b'0.36250143392097245';b'ARVUAJC1187B9908A5';b'0';b'Speedball';b'-9.191';b'SOMJNMD12AB0187F93';b'159.702';b'0.25510303553912445';b'1';b'No Survivors';b'5'
b'0.4938911529792842';b'0.3554959565796879';b'ARM63WJ1187B9951EA';b'0';b'Autumnblaze';b'-9.033';b'SOZNBMX12AB0182AD1';b'119.428';b'0.40790171721807383';b'4';b'Her Golden Robe In Silence Veiled';b'9'
b'0.7323938630696031';b'0.49622434864396775';b'ARBQPXY1187B98D67B';b'0';b'Kris Kristofferson';b'-11.663';b'SOIRIWN12AB0183AE7';b'74.809';b'0.3603705827121406';b'4';b'Same Old Song';b'2'
b'0.55319423352061';b'0.35980722500277096';b'ARPVFV91187B98BB94';b'0';b'Cinder';b'-5.025';b'SOESNFW12A6D4F995F';b'157.909';b'0.21204540548371908';b'4';b'The Ride (Album)';b'6'
b'0.553104832920521';b'0.36035044785399334';b'AR6TD9K1187B9A207D';b'0';b'Sister Rosetta Tharpe';b'-11.459';b'SOGNFKZ12A8C145224';b'89.995';b'nan';b'5';b'Two Little Fishes_ Five Loaves Of Bread';b'5'
b'0.6680202487233046';b'0.5169637307383411';b'ARYF20K1187B9B76BD';b'0';b'George Lopez';b'-16.724';b'SOSJVGP12AB0185B95';b'101.455';b'nan';b'1';b'Church Hangover';b'9'
b'0.8172562925023776';b'0.7352088777469941';b'ARH861H1187B9B799E';b'0';b'Johnny Cash';b'-7.087';b'SOHHGUG12A6D4F4E77';b'118.041';b'0.3264782375027913';b'4';b'I Got Stripes (Live)';b'4'
b'0.4612861622886023';b'0.0';b'ARHWRBR119B8669309';b'0';b'Hatesex';b'-8.506';b'SOBIPBF12AB0184B0C';b'180.129';b'nan';b'3';b'The Greed Of Our Stare';b'0'
b'0.6251867974682902';b'0.38880031291510264';b'ARE17W51187FB5381B';b'0';b'Rui Da Silva';b'-12.161';b'SONUTGA12AB0187F44';b'123.007';b'nan';b'4';b'The Contracting Perception Of Consciousness';b'1'
b'0.6205019249164577';b'0.3018470948111364';b'AR8U8G41187B9A833B';b'0';b'Tim Exile';b'-4.379';b'SOIGIUZ12A8C1337B1';b'141.836';b'0.4287022625232594';b'4';b'Post-Toxic Finger Disorder';b'0'
b'0.32521914304845917';b'0.2700999824694024';b'ARQVTCN11E2835DFFD';b'0';b'Marcel Mouloudji';b'-14.711';b'SORRQLD12A8C139E8D';b'77.5';b'nan';b'5';b'Qui Donc A Chang\xc3\xa9 ?';b'0'
b'0.448124002912';b'0.31552295903196886';b'AR8W2DS1187B9B6E36';b'0';b'Alex Theory';b'-10.56';b'SOHHKOU12A81C224B2';b'100.295';b'0.5346295822083406';b'4';b'Lotus Kiss';b'9'
b'0.015557880683016383';b'0.34424658036403843';b'ARHO1WI1187B98CB84';b'0';b'Michael Card';b'-7.005';b'SOWUAYB12A6D4FA1D4';b'122.403';b'0.0';b'4';b'So Many Books ... (The Word Album Version)';b'9'
b'0.3272331914161043';b'0.06372498646333741';b'ARYUHNV1187FB482AF';b'0';b'Megadrums';b'-15.777';b'SOYTQGO12A8C138C1B';b'118.713';b'0.0';b'4';"b""Drummer's Circle""";b'11'
b'0.4371937769385019';b'0.3161559873970384';b'AROBQ0B1187FB404F6';b'0';b'Walter Jackson';b'-12.839';b'SOOOBCE12A8C134019';b'78.453';b'0.3532613542649873';b'3';b'What Would You Do';b'5'
b'0.7541808331304262';b'0.47625416220006334';b'ARYNSN31187FB4C573';b'0';b'Bizzy Bone Presents';b'-7.837';b'SOROLCY12AB0182652';b'81.901';b'0.34092275586437804';b'4';b'Intro';b'4'
b'0.58400755313893';b'0.40902774457009566';b'ARE9SYU1187B9B9838';b'0';b'Jerry Reed';b'-4.994';b'SOWBEBK12AB018306A';b'201.951';b'nan';b'4';"b""When You're Hot_ You're Hot""";b'9'
b'0.782555689040213';b'0.33536857774641954';b'ARZCXO91187FB53708';b'0';b'Justin';b'-12.586';b'SOLIAYU12A6D4F9923';b'81.38';b'nan';b'4';b'Kong';b'1'
b'0.41838181163382604';b'0.31748634837422507';b'ARPEJMN11F4C84080E';b'0';b'New Roanoke Jug Band';b'-13.873';b'SOOBRTK12A8C13D6A9';b'96.212';b'0.0';b'1';b'When Those Two Towers Fell';b'0'
b'0.5224238291059312';b'0.417591879764777';b'ARJJRZ41187FB4C856';b'0';b'Floor';b'-9.105';b'SONROBV12AB0188BC7';b'144.803';b'0.26695518627553855';b'4';b'Ignis';b'4'
b'0.38980296682759785';b'0.287731467837425';b'ARELA4P1187B991507';b'0';b'Charles Williams';b'-14.493';b'SOLWBGS12AB0187EAD';b'102.95';b'nan';b'5';b'Close Up';b'5'
b'0.40737228057002517';b'0.4824868021390311';b'AR1VWD91187FB4CE99';b'0';b'The Animals_ Sonny Boy Williamson';b'-9.492';b'SOOCWAO12AB01852C1';b'81.111';b'0.2884816426560289';b'3';b'Bo Diddley';b'10'
b'0.7137828859773337';b'0.5291669829264597';b'ARUYVDC12086C11D5C';b'0';b'Fever Ray';b'-9.074';b'SOJDJRK12AB018565D';b'64.811';b'0.5543841211839374';b'4';"b""I'm Not Done""";b'0'
b'0.39885871321158833';b'0.3410613992194141';b'ARUT60Q1187B9B90E9';b'0';b'Orquesta Broadway';b'-8.612';b'SOYNXWG12AC468F51A';b'95.243';b'0.0';b'4';b'La Sitiera';b'9'
b'0.6119429558981506';b'0.40319797771654287';b'AR8Q4RZ1187FB46BDC';b'0';b'T-Bone Walker';b'-11.124';b'SOQYKBE12AC46867EE';b'162.855';b'nan';b'4';b'Teenage Baby (Digitally Remastered)';b'8'
b'0.6375333862984804';b'0.31061428147376885';b'ARMBR4Y1187B9990EB';b'0';b'David Martin';b'-8.57';b'SOHWKQE12A8C142406';b'133.925';b'0.0';b'4';b'It Must Be';b'4'
b'0.8048388888270448';b'0.45784115609436704';b'AR0CANF1187B9AF35F';b'0';b'Dilated Peoples';b'-8.225';b'SOUYTJK12A6701CD3D';b'165.546';b'0.5589973270385168';b'3';b'Big Business';b'11'
b'0.6519578769369507';b'0.4362205481837596';b'ARDDTL91187B9974A7';b'0';b'Warren Barfield';b'-6.748';b'SOYVONC12AB0187167';b'117.985';b'0.0';b'4';b'Shadow';b'11'
b'0.45393336167444404';b'0.32919497765107164';b'ARZJFLE12086C117FF';b'0';b'MN';b'-12.371';b'SOQYLQN12AB01801B8';b'136.95';b'nan';b'3';b'The Truth';b'11'
b'0.49883497525793824';b'0.37996076697507797';b'AR9OLFX1187B9A5762';b'0';b'Bob Wills';b'-15.653';b'SOCXXWR12AC468929B';b'95.655';b'nan';b'1';"b""Sittin' On Top of the Wolrd""";b'7'
b'0.4541228404623024';b'0.3303005838271262';b'ARYPRAG11F50C48C62';b'0';b'Checkers';b'-13.42';b'SOHLKRL12A8C141B63';b'135.048';b'nan';b'4';b'Oh Oh Oh Baby';b'1'
b'0.49019363397840465';b'0.37747250731152715';b'ARYN8YT1187FB38396';b'0';b'Los Iracundos';b'-7.582';b'SOAZTBX12AC4689A69';b'92.785';b'nan';b'4';b'Adios...Borron Y Cuenta Nueva';b'2'
b'0.6268031063273776';b'0.4052346907874076';b'ARJ9DSA1187B990E00';b'0';b'John And The Bluesbreakers Mayall';b'-6.356';b'SOFEAJC12A58A7F3AA';b'94.304';b'0.5317220984213001';b'3';b'A Hard Road';b'7'
b'0.6195309911238334';b'0.3543696158071208';b'ARVUQIC1187B9A7C66';b'0';b'Hevia';b'-5.764';b'SORZPFY12A8C137448';b'125.02';b'0.42409081096743817';b'4';b'San Xuan';b'0'
b'0.3817808805646497';b'0.30591777539675086';b'ARK6JC91187B9B4B2D';b'0';b'Babbie Mason';b'-17.263';b'SORRXOY12AB0183759';b'141.022';b'nan';b'4';"b""Isn't That Just Like God (Low Key Performance Track Without Background Vocals)""";b'2'
b'0.6092941551456632';b'0.3730604928119009';b'AROGAPH1187B98CF9C';b'0';b'Benabar';b'-11.258';b'SOADDVU12A8AE47512';b'88.018';b'0.4649239941807177';b'5';b'Le Zoo De Vincennes';b'4'
b'0.5380855007945653';b'0.3135007553703385';b'AR8ACFK1187B9B4063';b'0';b'Champion Jack Dupree';b'-21.723';b'SOJMOIF12A8C14397B';b'95.026';b'0.0';b'4';b'Christina Christina Blues';b'3'
b'0.620392055892929';b'0.3906605227228718';b'ARLDW2Y1187B9B544F';b'0';b'Tommy James & The Shondells';b'-11.359';b'SOFPQSC12A58A7B165';b'167.841';b'0.6972414451383805';b'4';b'Crimson And Clover';b'11'
b'0.38980296682759785';b'0.287731467837425';b'ARELA4P1187B991507';b'0';b'Charles Williams';b'-12.91';b'SOPIDCK12AB018DAF8';b'74.666';b'0.0';b'1';b'Barrage';b'0'
b'0.580971509956603';b'0.34873592978406104';b'ARELFAE1187FB40D0A';b'0';b'Bally Sagoo';b'-12.392';b'SOAPUWG12AB017DE50';b'111.901';b'0.0';b'4';b'Mele Wich Ayee (Shaan Remix)';b'6'
b'0.39632710921633696';b'0.3270127926987286';b'ARMAOIY1187B9A3893';b'0';b'Jerry Yan';b'-10.803';b'SOMOINR12AB0189188';b'117.892';b'nan';b'4';b'XI GUAN LIANG GE REN';b'11'
b'0.490303980373673';b'0.33441527067536053';b'ARRPCKN1187FB5BA2F';b'0';b'Z.Z. Hill';b'-8.301';b'SOBAMRQ12A8C141DF3';b'73.545';b'0.23376270577652303';b'3';b'Faithful and True (Collectors Version)';b'10'
b'0.32412862831801836';b'0.19119399348566748';b'ARDGBFI1269FCD6AA6';b'0';b'The Grease Band';b'-16.021';b'SODYMWS12A8C141577';b'123.891';b'0.21948217171712114';b'4';b'Laughed At The Judge';b'6'
b'0.6954165190418939';b'0.41211049520526744';b'ARGEKDX1187FB3A5BF';b'0';b'Marcus Miller';b'-13.227';b'SOKNAQC12A58A7EE5C';b'78.382';b'0.6090439426773437';b'3';b'Outro Duction';b'9'
b'0.36061366996779365';b'0.0';b'ARGXNS21187B999665';b'0';b'Tina Britt';b'-7.162';b'SOBHGWG12A6D4F50D2';b'118.835';b'0.0';b'1';b'He Put The Hurt On Me';b'3'
b'0.6003533140001155';b'0.3867514752376603';b'ARFZNDU1187FB417FC';b'0';b'X-Static';b'-12.139';b'SOVZIXG12AC3DF5331';b'98.645';b'nan';b'5';b'Murderous Style';b'1'
b'0.4420249810973847';b'0.28603261691822185';b'AR0NQD81187FB3AD13';b'0';b'Gary Morris';b'-12.584';b'SOUGZYV12A8C143A6F';b'81.809';b'nan';b'4';"b""You're Welcome To Tonight (Duet w/ Lynn Anderson) (Album Version)""";b'7'
b'0.48504926829573464';b'0.25822409030186455';b'AR0B5HI1187B9B9DB9';b'0';b'Silv\xc3\xa9rio Pessoa';b'-11.448';b'SOHLFWF12A58A7989F';b'95.997';b'0.0';b'3';b'Eu vi a maquina voadora';b'4'
b'0.6386140224507543';b'0.601436482837353';b'AR4L4WQ1187FB51996';b'0';b'The Prodigy';b'-5.434';b'SORERTC12A8AE454B3';b'215.916';b'nan';b'5';b'Music Reach (1/2/3/4) (Remastered)';b'6'
b'0.5107980105115456';b'0.35223551654624485';b'ARKRQSV1187B99FB13';b'0';b'Deborah Allen';b'-11.156';b'SODMROC12A8C1443E7';b'67.904';b'0.26586104921065007';b'4';b'I Will Always Love You';b'6'
b'0.6796169574734832';b'0.35447219105183414';b'ARB3YS71187FB4E54E';b'0';b'Tomorrow';b'-11.216';b'SOBHRIK12A6D4F6E75';b'138.028';b'0.0';b'4';b'Colonel Brown (1999 Digital Remaster)';b'2'
b'0.6294632451871911';b'0.42479123557056614';b'ARJPZSG1187FB3E985';b'0';b'John Holt';b'-13.898';b'SOCYTFB12AB017F7CE';b'166.05';b'nan';b'4';b'The Tide Is High - Original';b'8'
b'0.6546449746458465';b'0.450775217814067';b'ART09111187FB5BF48';b'0';"b'Ty Herndon;Stephanie Bentley'";b'-7.688';b'SOVWNAS12A8C130573';b'74.166';b'0.4051157216913865';b'5';b'Heart Half Empty';b'10'
b'0.3964552539172961';b'0.2992303679293693';b'ARH4Z031187B9A71F2';b'0';b'Faye Adams';b'-11.508';b'SOCSZYG12AB01871C2';b'110.323';b'0.0';b'3';b'My Greatest Desire';b'3'
b'0.8374501282954904';b'0.47676086709831694';b'ARDEC2A1187B9A460E';b'0';b'Chimaira';b'-4.238';b'SOATHUP12A8C131DC3';b'150.11';b'0.6290718355952272';b'4';b'The Flame';b'7'
b'0.6168845440365633';b'0.34384449941445117';b'ARZBYDY1187FB46DD7';b'0';b'Cali';b'-4.184';b'SOESWTI12AB0184D39';b'187.716';b'0.0';b'4';"b""Sta giu' (feat. Dj Rockdrive)""";b'1'
b'0.6371812839675844';b'0.4491399510400711';b'AR0N0DX1187FB41327';b'0';b'The Master Musicians of Jajouka featuring Bachir Attar';b'-15.926';b'SOSFVEI12A6D4F7C84';b'131.578';b'0.30416950343527516';b'4';b'The Truth Forever';b'8'
b'0.28216757765273126';b'0.29301071237902965';b'ARMW8O71187B98CD90';b'0';b'Ang\xc3\xa9lla Christie';b'-8.665';b'SONOQCH12A6D4FE0EE';b'111.465';b'0.20488271774216135';b'4';b'Walk With Me';b'5'
b'0.48214832497096216';b'0.3441981874832948';b'ARFCOGY1187FB454B4';b'0';b'The Winans';b'-13.792';b'SOHPFNX12AB018A5FE';b'102.328';b'0.5729201479465231';b'4';b'Everything You Touch Is a Song';b'8'
b'0.5492829074585028';b'0.3475475805256747';b'ARQCHDN1187FB4C7C2';b'0';b'Luiz Bonfa';b'-18.713';b'SOJDTBL12AB0188BF6';b'105.813';b'0.3552855364230894';b'4';b'A Brazilian in New York';b'4'
b'0.3345427836570606';b'0.04903438084848781';b'AROIHOI122988FEB8E';b'0';b'Mario Rosenstock';b'-5.849';b'SODKPPT12A8AE46A99';b'79.09';b'nan';b'3';b'De Tree Little Pigs';b'10'
b'0.8339679720525084';b'0.5769038155883393';b'ARE8GLF1187FB52532';b'0';b'Red Hot Chili Peppers';b'-1.479';b'SOPNFTX12A67020455';b'76.986';b'nan';b'3';b'Get On Top (Album Version)';b'4'
b'0.84775465607329';b'0.49420685530211234';b'ARJBWQI1187B9B17D1';b'0';b'Trivium';b'-3.973';b'SOIWZZD12A8C14505C';b'100.604';b'0.47405483093120077';b'4';b'Upon The Shores [Explicit]';b'4'
b'0.370429861995241';b'0.26626975719270224';b'ARENLSD1241B9C71B9';b'0';b'Mack and Jamie';b'-15.755';b'SOWBRZR12A58A7B5D2';b'186.13';b'nan';b'4';b'Slimy Little Troll';b'8'
b'0.564710159052268';b'0.4159376408281591';b'ARYZV2X1187B997BE7';b'0';b'Chris Standring';b'-9.449';b'SOPOTLV12AB017C1F7';b'97.959';b'0.4944895175021134';b'4';b'Mumbo Jumbo (jazz)';b'9'
b'0.6507269244411518';b'0.42382566334467503';b'ARM0RY81187B9AF248';b'0';b'Jerry Goldsmith';b'-18.719';b'SOBRVRZ12A8C132DE5';b'77.306';b'nan';b'5';b'First Blood';b'1'
b'0.4124730423730093';b'0.3069763072258157';b'AR9F71I1187FB46CAF';b'0';b'Gordon MacRae';b'-16.215';b'SOWTBIV12A8C13B607';b'77.929';b'nan';b'5';b'Do You Ever Think Of Me';b'3'
b'0.6268031063273776';b'0.4052346907874076';b'ARJ9DSA1187B990E00';b'0';b'John Mayall & The Bluesbreakers';b'-4.62';b'SOKWXEW12A6D4F7F9E';b'166.238';b'nan';b'1';b'Crawling Up A Hill - version 2 - mono_ live';b'8'
b'0.5743000682773265';b'0.3755935825851729';b'ARTDUXM1187B9899ED';b'0';b'Charley Patton';b'-15.164';b'SOFLCWE12AC468C2B2';b'107.877';b'nan';b'1';b'Moon Going Down';b'10'
b'0.7102033774028097';b'0.5148498795731506';b'ARUWB5W1187B98D7A1';b'0';b'Ensiferum';b'-2.599';b'SOZSSJQ12AB01852D1';b'200.061';b'0.6910425455861244';b'4';b'Hero In A Dream';b'9'
b'0.5787043307463909';b'0.3698838279488981';b'ARTJPHB1187B9968E5';b'0';b'The Race';b'-5.298';b'SOEJFMF12A670209F0';b'118.043';b'nan';b'4';b'Raising Children';b'11'
b'0.43978994682621575';b'0.2700252448023299';b'ARIULTJ1187B9A2017';b'0';b'Neviss';b'-31.412';b'SOGVRQG12A58A7E69B';b'160.409';b'nan';b'7';b'Epilog';b'1'
b'0.6411975149842052';b'0.44865347112982507';b'AR4TLW81187B99683D';b'0';b'Martin Sexton';b'-8.733';b'SOKQYBC12AB0183C87';b'133.391';b'0.30416950343527516';b'4';b'Ice Cream Man';b'2'
b'0.2491692630582695';b'0.0';b'ARVNIVQ1250941026F';b'0';b'Dylan Kuo';b'-5.614';b'SOBHDHC12A6D4FA2A4';b'100.173';b'nan';b'4';b'Ji Xiang Yan Chu';b'1'
b'0.5986364339485454';b'0.2328250608705825';b'ARNNHLN1187FB42912';b'0';b'Yahir';b'-5.737';b'SONKDJU12A67FFB313';b'131.938';b'0.0';b'4';b'No seamos tontos';b'0'
b'0.7841439647957018';b'0.5531688635836378';b'ARZJ4MI1187B9AF5AF';b'0';b'Reel Big Fish';b'-4.188';b'SODWSGW12A58A7D4B8';b'159.723';b'nan';b'4';"b""Why Do All Girls Think They're Fat (Album)""";b'2'
b'0.291433259678306';b'0.31980198948730404';b'AR502DZ1187B98F8E1';b'0';b'Brian Dullaghan';b'-21.412';b'SOJTSAW12A58A7B6C2';b'92.29';b'nan';b'3';b'My First Day At School';b'2'
b'0.4962240848472056';b'0.3472497167251076';b'ARE08BN1187B98FCA3';b'0';b'Der Plan';b'-18.169';b'SOTJODQ12AB018561C';b'35.898';b'nan';b'4';b'De Kommissar 1';b'6'
b'0.4682509114975055';b'0.41084158724086123';b'ARSWXNX1187FB3D04E';b'0';b'Chango Spasiuk';b'-13.763';b'SOAONEP12A58A7D2B3';b'194.156';b'0.0';b'4';b'De Bombacha Y Alpargatas';b'9'
b'0.48769397159097466';b'0.34197680383144013';b'ARFERPC1187FB557F6';b'0';b'Hacken Lee';b'-11.786';b'SOAXQTX12AB017F467';b'112.081';b'nan';b'4';b'He Jiu Bi Hun';b'6'
b'0.32467743101960894';b'0.3041842562084854';b'ARIJ7MR1187B9B484E';b'0';b'Peggy Zina';b'-6.654';b'SOPJBSM12AB0182B14';b'96.024';b'nan';b'4';b'O Hiroteros Ehthros Mou';b'3'
b'0.675771369616503';b'0.4354688988157254';b'AR93D4D1187FB3ACAD';b'0';b'J.J. Cale';b'-14.293';b'SOICEAK12A6D4F4819';b'111.492';b'0.5573131363875086';b'1';b'Midnight In Memphis';b'0'
b'0.5153102332305513';b'0.2607967782533836';b'ARPOPBQ11F4C83D36D';b'0';b'DJ Spinn';b'-6.53';b'SOWHIHY12AB018B64A';b'119.987';b'nan';b'3';b'Feelin You';b'6'
b'0.5143733922961689';b'0.320417800326261';b'ARMKO9M1187B9B0848';b'0';b'Theodis Ealey';b'-7.405';b'SOLLWEJ12A8C132B05';b'99.238';b'nan';b'4';b'This Time I Know';b'10'
b'0.3825466666239224';b'0.33513806449963085';b'ARKYI5T1187B99334F';b'0';b'Janet Paschal';b'-11.536';b'SORBVIZ12A8C13A4BA';b'119.194';b'0.33957629259041733';b'4';b'God Will Make A Way';b'7'
b'0.6491573882327762';b'0.4691774294369101';b'ARWHM281187FB3D381';b'0';b'Souls Of Mischief';b'-5.911';b'SONCPQC12A58A7D3A7';b'96.287';b'0.6021199899057548';b'4';b'Spark';b'4'
b'0.5503033788841007';b'0.40737314928722795';b'ARI4NXX1187FB59DF2';b'0';b'Raze';b'-2.932';b'SONAJJE12A6D4F49A0';b'108.831';b'0.26103456923559015';b'4';b'Follow Your Dreams (The Plan Album Version)';b'6'
b'0.7262980274461062';b'0.5554145758164936';b'AR7Y6JX1187FB4D9B3';b'0';b'Bad Brains';b'-9.614';b'SOTUGCE12AB0181409';b'86.536';b'0.5896378913586399';b'4';b'Destroy Babylon';b'9'
b'0.6328564187285546';b'0.42898052143866244';b'ARQ0BZY1187B99F093';b'0';b'Everyday Sunday';b'-7.462';b'SOHKEPR12AB018C9C9';b'103.009';b'0.3231121208952123';b'4';"b""Don't Leave""";b'7'
b'0.5144145542022819';b'0.41375765725234637';b'AR3KXHI1187FB3A8BF';b'0';b'Dora The Explorer';b'-6.917';b'SOGKVQY12AAF3B28D7';b'123.965';b'0.3347065490692206';b'4';b'Travel Song (Reprise)';b'1'
b'0.6297490400005165';b'0.42356389026271546';b'AR3SEQM1187B98E9E8';b'0';b'Kix';b'-2.769';b'SOADKNO12AB0182BC7';b'140.994';b'0.2726022466813635';b'4';b'Cold Blood (LP Version)';b'1'
b'0.9473275066349645';b'0.6312895075854603';b'AR03BDP1187FB5B324';b'0';b'Britney Spears';b'-5.304';b'SOQIDEF12A8C139B23';b'111.004';b'0.6504058079031727';b'4';"b""Don't Go Knockin' On My Door""";b'10'
b'0.6895596901712081';b'0.5290395723765623';b'ARH8B5X1187FB3B6C0';b'0';b'Skeletonwitch';b'-5.516';b'SOVBYLF12AB017EBAC';b'201.333';b'0.580900873809865';b'4';b'Sacrifice for the Slaughtergod';b'9'
b'0.8661710764267913';b'0.48833898966432915';b'AR5BX3Y1187FB39E93';b'0';b'Slightly Stoopid';b'-12.708';b'SOIBAKV12A8C142CE7';b'173.709';b'0.3277366831778408';b'4';b'Jimi Baby';b'9'
b'0.5495296727151721';b'0.40405274769565863';b'ARS2FUA1187B9ADABF';b'0';b'Indigenous';b'-6.724';b'SOTEWGK12AB0185C5A';b'108.018';b'0.0';b'4';b'Wanikaa (Featuring Abramz_ Krazy_ Lyrical G_ Saint Ca and Sylvester)';b'5'
b'0.5582453092722094';b'0.43948809906182723';b'ARAPI451187B9B6E6F';b'0';b'John Michael Talbot';b'-21.506';b'SOIUODF12A6D4F9C3E';b'96.709';b'nan';b'3';b'Pass Through My Will';b'5'
b'0.6211210512857237';b'0.4356840702087019';b'ARS0W831187B9AF0B7';b'0';b'Maximilian Hecker';b'-8.059';b'SOGINAY12A8C138666';b'129.488';b'nan';b'5';b'Full Of Voices';b'8'
b'0.5303556678749041';b'0.39717904259160935';b'ARVML4B1187FB52324';b'0';b'Leroy Hutson';b'-17.92';b'SOETIGS12AB0186644';b'183.935';b'nan';b'4';b'More Where That Came From - Original';b'7'
b'0.49407381504459197';b'0.3280733049127533';b'ARUZL121187FB4B42D';b'0';b'True Believers';b'-8.672';b'SOCVTPO12A8C13414F';b'92.881';b'0.26078412790720235';b'4';b'I Worship You';b'4'
b'0.021492905415210338';b'0.0';b'ARGSAFR1269FB35070';b'0';b'Blingtones';b'-12.838';b'SOLBDEY12AC9E12684';b'67.046';b'nan';b'1';b'La bo\xc3\xaete \xc3\xa0 hein biloute';b'4'
b'0.5334533429919516';b'0.27380615027542854';b'AROVE3N1187FB44DAD';b'0';b'Charlie Cruz';b'-2.968';b'SOLBDAS12AB018BB6E';b'200.534';b'0.0';b'4';b'Si No Te Hubieras Ido';b'2'
b'0.8224328293700504';b'0.5313033185652613';b'ARASYMJ1187B9ACAF2';b'0';b'Whitesnake';b'-7.356';b'SOHWVJJ12AB0185F6D';b'125.783';b'0.8525913796618598';b'4';b'Fool For Your Loving';b'7'
b'0.5257402684998698';b'0.3891196218766309';b'AR937CC1187B99B9B9';b'0';b'Los Abuelos De La Nada';b'-14.409';b'SOVQWTQ12A8C13D988';b'139.685';b'nan';b'4';b'Lunes Por La Madrugada';b'2'
b'0.45298313209959595';b'0.3280949246919725';b'ARZU9NI1187B9AEE08';b'0';b'Babylon Disco';b'-10.196';b'SOHZNER12AAFF43D08';b'89.927';b'0.33207098227937304';b'4';b'Error';b'0'
b'0.43781494278547284';b'0.33618612815596594';b'ARP9QX11187FB50EEB';b'0';b'Ulytau';b'-5.779';b'SOBDHIZ12AB0182E18';b'140.13';b'0.5090399144783007';b'4';b'Winter (Four Seasons)';b'5'
