,track id,song id,artist,song,paths
68,TRAAFMS128F933AB23,SOSBDSF12AB0189007,Soda Stereo,Entre Caníbales,data/A/A/F/TRAAFMS128F933AB23.h5
69,TRAAFON128F42926FB,SOIJXXM12A8C1416D6,Bruce Rowland,Rosemary Recalls,data/A/A/F/TRAAFON128F42926FB.h5
70,TRAAFRU128F9339158,SOHMMMC12AB0181C42,Xcultures,Sudanese Dance,data/A/A/F/TRAAFRU128F9339158.h5
71,TRAAFSM128F425A2C5,SOVJXVJ12A8C13517D,White Heart,Where The Thunder Roars (Tales Of Wonder Album Version),data/A/A/F/TRAAFSM128F425A2C5.h5
72,TRAAFUJ128F933F42B,SOFZCTA12AB0188D8F,Heavy D / McGruff,Wanna Be A Player,data/A/A/F/TRAAFUJ128F933F42B.h5
73,TRAAFYL128E07856A7,SOLRYQR12A670215BF,Van Halen,Panama (Remastered Album Version),data/A/A/F/TRAAFYL128E07856A7.h5
74,TRAAGCZ128F93210FD,SOCHRXB12A8AE48069,Black Eyed Peas,Let's Get It Started,data/A/A/G/TRAAGCZ128F93210FD.h5
75,TRAAGEC128E079252C,SOKBBXO12A6701DEA0,Nine Inch Nails,Metal,data/A/A/G/TRAAGEC128E079252C.h5
76,TRAAGGE128F9325E2C,SOWHYUG12A58A77FAB,Nick Cave & The Bad Seeds,She Fell Away (2009 Digital Remaster),data/A/A/G/TRAAGGE128F9325E2C.h5
77,TRAAGHM128EF35CF8E,SOYSTDI12A6D4F6500,Nadine Renee,Next Time,data/A/A/G/TRAAGHM128EF35CF8E.h5
78,TRAAGJV128F1464090,SOOOROX12A6D4F8400,Lesley Gore,It's My Party,data/A/A/G/TRAAGJV128F1464090.h5
79,TRAAGKF128F932D5A2,SONSPZE12AB01819CE,Smartbomb,Complicate It,data/A/A/G/TRAAGKF128F932D5A2.h5
80,TRAAGKQ128F92EAF39,SOHWGFU12AB017B036,Suburbs,Monde De Fou,data/A/A/G/TRAAGKQ128F92EAF39.h5
81,TRAAGKS128F9314884,SOQQVQJ12AB0185192,Emperor,Opus a Satana (Part 2),data/A/A/G/TRAAGKS128F9314884.h5
82,TRAAGMJ12903CAD7D4,SODRHHD12AB0189F2A,Julien Clerc,This Melody (Live),data/A/A/G/TRAAGMJ12903CAD7D4.h5
83,TRAAGNL128F4299BF1,SOQGFVO12A8C13C8C3,Glen Campbell,I'm Gone This Time,data/A/A/G/TRAAGNL128F4299BF1.h5
84,TRAAGOH128F42593CE,SORABMD12A8C136672,T.G. Sheppard,You Feel Good All Over,data/A/A/G/TRAAGOH128F42593CE.h5
85,TRAAGPF12903CE027E,SOTUBVH12AB018D2EC,Slim Whitman,Indian Love Call,data/A/A/G/TRAAGPF12903CE027E.h5
86,TRAAGPH128F4273C8D,SOMQAGT12A8C132DB4,Savage Garden,You Can Still Be Free,data/A/A/G/TRAAGPH128F4273C8D.h5
87,TRAAGPJ128F428CD1B,SOKLLOH12A67020F2C,Queens Of The Stone Age,I Never Came,data/A/A/G/TRAAGPJ128F428CD1B.h5
88,TRAAGUA128F93236E8,SONRLQH12AB017C232,Hank Penny & The Lincoln Penny Orchestra,Dixie,data/A/A/G/TRAAGUA128F93236E8.h5
89,TRAAGVF128E0789785,SODDZAD12A6701DC4C,Inspiral Carpets,Commercial Reign,data/A/A/G/TRAAGVF128E0789785.h5
90,TRAAGVM128E0784D95,SORENXV12A6701F61F,Borialis,Hourglass,data/A/A/G/TRAAGVM128E0784D95.h5
91,TRAAGXN128F92DE52C,SOYMMDY12AB01825B2,The Dirty Skirts,Wake,data/A/A/G/TRAAGXN128F92DE52C.h5
92,TRAAGZU128EF360F47,SOJWQIP12A6D4F710A,Flor Silvestre,Caricia Y Herida,data/A/A/G/TRAAGZU128EF360F47.h5
93,TRAAHDH128F93094B6,SOOVOKS12AB017EE57,Bézu,Le tortillard,data/A/A/H/TRAAHDH128F93094B6.h5
94,TRAAHEG128E07861C3,SORWHWY12A6702038E,Redman,WKYA (drop),data/A/A/H/TRAAHEG128E07861C3.h5
95,TRAAHEH128F427FCEF,SOGYYLE12A8C13E5EA,Solistiyhtye Suomi,Teräslintu,data/A/A/H/TRAAHEH128F427FCEF.h5
96,TRAAHEQ128F93057B4,SOITUXQ12AB0183AE9,Eddie Cantor,Now's The Time To Fall In Love,data/A/A/H/TRAAHEQ128F93057B4.h5
97,TRAAHER128F92E3FE9,SOTWEZZ12A8C142B60,Schizoid,Grim Prospects (Gross Prospects - Bad Trip Remix),data/A/A/H/TRAAHER128F92E3FE9.h5
98,TRAAHJX128F9312B83,SOUVRGZ12A58A77F90,Kai Winding,Mangos,data/A/A/H/TRAAHJX128F9312B83.h5
99,TRAAHKE128F421389B,SOBLTSM12A6D4F9EEA,Sonny Simmons,A Distant Voice,data/A/A/H/TRAAHKE128F421389B.h5
100,TRAAHMO128F92DE7C9,SOUQVUD12A8C142DCE,Mira,Openbare Weg,data/A/A/H/TRAAHMO128F92DE7C9.h5
101,TRAAHPZ12903CB4643,SOCRPDR12AB0185B75,Citizen Kaned,President Johnson,data/A/A/H/TRAAHPZ12903CB4643.h5
102,TRAAHRF128F92FE234,SOXVBVL12AF72A600C,The Brooklyn Tabernacle Choir,Lead Me Lord,data/A/A/H/TRAAHRF128F92FE234.h5
103,TRAAHTH12903CCFFE1,SOIQHDR12AB01896C8,Ellen McIlwaine,Spontanous Combustion,data/A/A/H/TRAAHTH12903CCFFE1.h5
104,TRAAHVY128F92E25D6,SODLSHA12AAF3B29F2,Vince Guaraldi / Bola Sete,Choro,data/A/A/H/TRAAHVY128F92E25D6.h5
105,TRAAHXN128F9326097,SOAGHMH12AB0180285,Maurice Chevalier,Ma Louise,data/A/A/H/TRAAHXN128F9326097.h5
106,TRAAHYV128F932A425,SORAVUP12AB018556E,Carl Cox Vs Yousef,I Want You (Forever),data/A/A/H/TRAAHYV128F932A425.h5
107,TRAAHZP12903CA25F4,SOFXNQP12AB0184F1A,Organized Konfusion,Hate,data/A/A/H/TRAAHZP12903CA25F4.h5
108,TRAAIAE128F42AC53D,SOGQTRZ12A8C13C8B0,Martina McBride,I Can't Stop Loving You,data/A/A/I/TRAAIAE128F42AC53D.h5
109,TRAAIAN12903CFF16D,SOBHVZQ12AC9618285,Horace Andy,Thank You Lord,data/A/A/I/TRAAIAN12903CFF16D.h5
110,TRAAIAX128F930531B,SOYPBCY12AB0181EF3,Nazz,How Can You Call That Beautiful (Stewkey Vocal),data/A/A/I/TRAAIAX128F930531B.h5
111,TRAAIBB12903CECB35,SOWRLSY12AC4687694,Tyrone Davis,Cheatin' In The Next Room,data/A/A/I/TRAAIBB12903CECB35.h5
112,TRAAIDY128F92CA454,SOOGQWR12A8C142505,Hot Tuna,Candy Man,data/A/A/I/TRAAIDY128F92CA454.h5
113,TRAAIFG12903CB0BCB,SOJDYQY12AB0188C97,Richard Burton,I See The Boys Of Summer,data/A/A/I/TRAAIFG12903CB0BCB.h5
114,TRAAIGD12903CA2F3C,SOBHQUF12AB018B03E,Rory Block,Three Is a Crowd,data/A/A/I/TRAAIGD12903CA2F3C.h5
115,TRAAIHL128F92E6DDA,SOFRAZJ12A8C143CDB,Boyz II Men,On Bended Knee,data/A/A/I/TRAAIHL128F92E6DDA.h5
116,TRAAIIE128F4288BB1,SONNDHT12A8C13F20B,Howard Armstrong,My Four Reasons,data/A/A/I/TRAAIIE128F4288BB1.h5
117,TRAAIII128F427D5D8,SOYZOXW12A8C13E195,Donny Hathaway,Little Girl (LP Version),data/A/A/I/TRAAIII128F427D5D8.h5
118,TRAAILM128F93480BB,SOSGJTX12AB0181F7C,Miguel Gallardo,Eternamente Amame,data/A/A/I/TRAAILM128F93480BB.h5
119,TRAAINT128F933BBE0,SOBQBWP12AB018611B,Les Ogres De Barback,Niev nietch nievitch,data/A/A/I/TRAAINT128F933BBE0.h5
120,TRAAIRG128F93265E8,SODULLV12AB017FA09,DJ X-Change featuring DJ Joey A,Come Over,data/A/A/I/TRAAIRG128F93265E8.h5
121,TRAAIXN128F428027A,SOYAGJM12A8C13DCCE,Morel,Blue Taxi,data/A/A/I/TRAAIXN128F428027A.h5
122,TRAAIXU128F4241E5C,SORXUZZ12A8AE4798A,Tony Joe White,I Want Love (Tween You & Me) (Album Version),data/A/A/I/TRAAIXU128F4241E5C.h5
123,TRAAIYR12903CD290D,SOCHXAE12AF72A25D6,Wolfmother,White Feather,data/A/A/I/TRAAIYR12903CD290D.h5
124,TRAAJAC128F148B530,SOCRHCQ12A58A7C8C6,The Roches,Christlike Roche,data/A/A/J/TRAAJAC128F148B530.h5
125,TRAAJBU128F9326C02,SOSEJIQ12AB017E7EB,Bob Margolin,You Rascal You,data/A/A/J/TRAAJBU128F9326C02.h5
126,TRAAJBU12903CE2831,SOMXWXQ12AC3DFA002,Thomas Battenstein,Sympathy,data/A/A/J/TRAAJBU12903CE2831.h5
127,TRAAJEK128F422F55A,SOGMXBW12A6D4FB8D7,Jupiter Rising,They Say (Album),data/A/A/J/TRAAJEK128F422F55A.h5
128,TRAAJEK12903CE351A,SOOPUTF12AB018DFAA,Dharma Bums,Simon's Folly,data/A/A/J/TRAAJEK12903CE351A.h5
129,TRAAJJA12903CC518A,SOFDTRZ12AB018DD11,Saafir,Crawl Before You Ball (Album Version),data/A/A/J/TRAAJJA12903CC518A.h5
130,TRAAJJG128F4284B27,SOOGNJP12A8C1381AD,The Verve Pipe,Medicate Myself,data/A/A/J/TRAAJJG128F4284B27.h5
131,TRAAJJV128F42A2F99,SOFUBCP12A8C13D5EF,Bob Neuwirth,Biding Her Time,data/A/A/J/TRAAJJV128F42A2F99.h5
132,TRAAJMH128E0785407,SOVZBDR12A6702012E,Marvin Sapp,More And More  (LP Version),data/A/A/J/TRAAJMH128E0785407.h5
133,TRAAJNM12903CF4750,SOPWKSS12AC468E659,James Hunter,Cowboy Ways,data/A/A/J/TRAAJNM12903CF4750.h5
134,TRAAJSX128F4275A1D,SOCCQIQ12A8C13C76B,Nelson Ned,Brasas Vivas,data/A/A/J/TRAAJSX128F4275A1D.h5
135,TRAAJVJ128F42570AD,SODBMZD12A8C134232,Mish Mash,Kolomeyke,data/A/A/J/TRAAJVJ128F42570AD.h5
136,TRAAJXQ128F92E65BF,SOBUWPY12A8C1446C0,Cama,In This Life,data/A/A/J/TRAAJXQ128F92E65BF.h5
137,TRAAJYX128F4255568,SORWXUP12A58A79E65,Maxi Priest,Groovin' In The Midnight,data/A/A/J/TRAAJYX128F4255568.h5
138,TRAAKAS128F4246013,SOJEVZW12A8C133988,Porcupine Tree,Waiting,data/A/A/K/TRAAKAS128F4246013.h5
139,TRAAKAV128F931BE25,SOOODKC12AB018462F,Ragheb Alama,A'chek Ouyounik (2009 Digital Remaster),data/A/A/K/TRAAKAV128F931BE25.h5
140,TRAAKDF128F92FA302,SODOLVO12B0B80B2F4,Foo Fighters,Hell,data/A/A/K/TRAAKDF128F92FA302.h5
141,TRAAKDG128F42A0ECB,SOEHWGF12A6D4F8B2B,Shakira Featuring Wyclef Jean,Hips Don't Lie (featuring Wyclef Jean),data/A/A/K/TRAAKDG128F42A0ECB.h5
142,TRAAKJJ128F4228346,SOOZLTC12A6D4FBE91,The Avengers,Juoksuhauta-twist (Elämä juoksuhaudoissa),data/A/A/K/TRAAKJJ128F4228346.h5
143,TRAAKNS12903CC5198,SOOSYMY12AB01888CD,Robben Ford,I Got Over It (Album Version),data/A/A/K/TRAAKNS12903CC5198.h5
144,TRAAKQS128F4224DE1,SOPBKEB12A6D4FD777,Brazilian Tropical Orchestra,One Less Bell To Answer,data/A/A/K/TRAAKQS128F4224DE1.h5
145,TRAAKSB128F934D73A,SOEWQYW12AB0183FDE,Gil Semedo,Festa,data/A/A/K/TRAAKSB128F934D73A.h5
146,TRAAKTK128F9343DCC,SOFBQIA12AB0182219,Soda Stereo,Te Hacen Falta Vitaminas,data/A/A/K/TRAAKTK128F9343DCC.h5
147,TRAAKVA128F934E69E,SOHDDHR12AB0183552,Xmilk,Sense And Trick,data/A/A/K/TRAAKVA128F934E69E.h5
148,TRAAKVD12903CE8474,SONWQQX12AC3DF6762,Dolce; Oscar G.,Fire (Oscar G Space Vocal Mix),data/A/A/K/TRAAKVD12903CE8474.h5
149,TRAAKVZ12903D074BB,SOGXFIF12A58A78CC4,Britt Nicole,Hanging On (Medium Key Performance Track Without Background Vocals),data/A/A/K/TRAAKVZ12903D074BB.h5
150,TRAAKXN128F92E71B1,SOIPNSZ12A8C144128,Schizoid,Grim Prospects (Version 2 Remix),data/A/A/K/TRAAKXN128F92E71B1.h5
151,TRAALCM128F4264370,SOEXSIN12A8C133B0A,Toni Braxton Featuring Shaggy,Christmas In Jamaica,data/A/A/L/TRAALCM128F4264370.h5
152,TRAALDU128F930D56B,SOTSMNJ12AB018365E,Perrey And Kingsley,Gossippo Perpetuo,data/A/A/L/TRAALDU128F930D56B.h5
153,TRAALEO128F42A7AEA,SOLGRUN12A8C140543,Sven Tasnadi,2190 Dias Contigo,data/A/A/L/TRAALEO128F42A7AEA.h5
154,TRAALHD12903D0BD6A,SOQCHGV12AC4688FC6,Eddie,No Control,data/A/A/L/TRAALHD12903D0BD6A.h5
155,TRAALNG12903D014E9,SOXCWTT12AC9075756,Enthroned,The Vitalized Shell,data/A/A/L/TRAALNG12903D014E9.h5
156,TRAALRZ128F429024E,SOAFIPD12A8C13A261,Suzanne Ciani,Mozart,data/A/A/L/TRAALRZ128F429024E.h5
157,TRAALSV128F4282B9B,SOMJPML12A8C13D74E,Milan Band,Ciao Milan,data/A/A/L/TRAALSV128F4282B9B.h5
158,TRAALUX12903CFD50B,SOCVDYI12AC4687DDB,Johnny Osbourne,Lend Me Your Chopper,data/A/A/L/TRAALUX12903CFD50B.h5
159,TRAALZC128F92E11A6,SOEVGMZ12A8C1421B5,Dolly Parton,Letter To Heaven,data/A/A/L/TRAALZC128F92E11A6.h5
160,TRAALZN128F932D457,SOCGURJ12AB0182AEE,Rance Allen Group,Heaven is Where The Heart Is,data/A/A/L/TRAALZN128F932D457.h5
161,TRAAMES128F42AF068,SOHTWLT12A8C13CFE1,Pearl Jam,Inside Job,data/A/A/M/TRAAMES128F42AF068.h5
162,TRAAMFG128F92FDEA2,SOVQZYP12A8C144692,Natalie Cole,Take A Look  (LP Version),data/A/A/M/TRAAMFG128F92FDEA2.h5
163,TRAAMFT128F93128AD,SOHHANU12A58A77C66,Mastodon,The Czar: Usurper/Escape/Martyr/Spiral (Album Version),data/A/A/M/TRAAMFT128F93128AD.h5
164,TRAAMGJ12903CD315C,SOTHWPG12AB018C90E,Kiril Valeri,Bulgarian Dream,data/A/A/M/TRAAMGJ12903CD315C.h5
165,TRAAMII128F933B583,SOOQHNV12AB0186CD4,Word,Amalgama,data/A/A/M/TRAAMII128F933B583.h5
166,TRAAMJY128F92F5919,SOSGXRU12AAF3B2B07,DJ Quik,Born and Raised In Compton,data/A/A/M/TRAAMJY128F92F5919.h5
167,TRAAMKI128F428537A,SOFRUDU12A8C13A40C,Hank Locklin,We're Gonna Go Fishin',data/A/A/M/TRAAMKI128F428537A.h5
168,TRAAMKL128F9347D8A,SONXLQQ12AB0184B54,BT,Robbers Kill Cop,data/A/A/M/TRAAMKL128F9347D8A.h5
169,TRAAMKP12903CC74F4,SOKPHVH12AB0187460,2-4 Grooves feat. Reki D.,Relax,data/A/A/M/TRAAMKP12903CC74F4.h5
170,TRAAMKW128F4249CF0,SOIUGDX12A6D4FDECA,The Jordanaires,Sweet By And By,data/A/A/M/TRAAMKW128F4249CF0.h5
171,TRAAMPA128F92E7D0D,SOAYYDM12AB01817E6,Descendents,Orgofart,data/A/A/M/TRAAMPA128F92E7D0D.h5
172,TRAAMSO128EF348DCC,SORAJXA12A58A7A4C9,L.A. Guns,Bitch Is Back,data/A/A/M/TRAAMSO128EF348DCC.h5
173,TRAAMXP128F4264F6A,SODJUNF12A8C13337F,Bare Jr.,Naked Albino,data/A/A/M/TRAAMXP128F4264F6A.h5
174,TRAAMYQ128F148B753,SOVDDWO12A6D4F9A78,Shelley Fabares,Johnny Loves Me (LP Version),data/A/A/M/TRAAMYQ128F148B753.h5
175,TRAAMZB12903CAB002,SOFGQAP12AB0185946,Norrie Paramor,Dearly Beloved,data/A/A/M/TRAAMZB12903CAB002.h5
176,TRAAMZR128F9315DCC,SORGLCR12AB0184B69,Gary Hobbs,The Look Of Love,data/A/A/M/TRAAMZR128F9315DCC.h5
177,TRAANBH128F9345A6C,SOLBIIE12AB0184DFC,Diesel Boy,Cooler Than You,data/A/A/N/TRAANBH128F9345A6C.h5
178,TRAANKK128F42531BC,SORHOEV12A81C20F71,Angelo Badalamenti,Taryns Deepest Fear,data/A/A/N/TRAANKK128F42531BC.h5
179,TRAANLO128F422AE37,SOFPYXC12A58A7A4B9,Cradle Of Filth,Summer Dying Fast,data/A/A/N/TRAANLO128F422AE37.h5
180,TRAANLZ128F934EC42,SOFQGCQ12AB0183609,Jim Chappell,Still,data/A/A/N/TRAANLZ128F934EC42.h5
181,TRAANMF12903CEAFEF,SOEBDBO12AC4688712,Ladybug,Snapshot,data/A/A/N/TRAANMF12903CEAFEF.h5
182,TRAANRI12903CD0A9C,SONIQSB12AB0189829,Bandido,End Of The Road (Head Hornys Remix),data/A/A/N/TRAANRI12903CD0A9C.h5
183,TRAANTD128F9323B23,SOYNEII12AB0181DB6,Brixx,7 Miles,data/A/A/N/TRAANTD128F9323B23.h5
184,TRAANTZ128E0792529,SOKIGWD12A6701DE9D,Nine Inch Nails,The Frail,data/A/A/N/TRAANTZ128E0792529.h5
185,TRAAODT12903D0D16E,SOHXKAN12AC46872F1,Susana Seivane,Para Milladoiro,data/A/A/O/TRAAODT12903D0D16E.h5
